TEAM_ID,MISSION_TIME,PACKETCOUNT,PACKETTYPE,SP_ALTITUDE,SP_TEMP,SP_ROTATION_RATE
2092,12:13:43,2,S1,20,25,345
2092,12:13:43,3,S1,20,25,345
2092,12:13:43,4,S1,20,25,345
2092,12:13:43,5,S1,20,25,345
2092,12:13:43,6,S1,20,25,345
2092,12:13:43,7,S1,20,25,345
2092,12:13:43,8,S1,20,25,345
2092,12:13:43,9,S1,20,25,345
2092,12:13:43,11,S1,20,25,345
2092,12:13:43,12,S1,20,25,345
2092,12:13:43,13,S1,20,25,345
2092,12:13:43,14,S1,20,25,345
2092,12:13:43,15,S1,20,25,345
2092,12:13:43,16,S1,20,25,345
2092,12:13:43,17,S1,20,25,345
2092,12:13:43,18,S1,20,25,345
2092,12:13:43,19,S1,20,25,345
2092,12:13:43,20,S1,20,25,345
2092,12:13:43,21,S1,20,25,345
2092,12:13:43,22,S1,20,25,345
2092,12:13:43,24,S1,20,25,345
2092,12:13:43,25,S1,20,25,345
2092,12:13:43,26,S1,20,25,345
2092,12:13:43,27,S1,20,25,345
2092,12:13:43,28,S1,20,25,345
2092,12:13:43,29,S1,20,25,345
2092,12:13:43,30,S1,20,25,345
2092,12:13:43,31,S1,20,25,345
2092,12:13:43,32,S1,20,25,345
2092,12:13:43,33,S1,20,25,345
2092,12:13:43,34,S1,20,25,345
2092,12:13:43,35,S1,20,25,345
2092,12:13:43,36,S1,20,25,345
2092,12:13:43,38,S1,20,25,345
2092,12:13:43,39,S1,20,25,345
2092,12:13:43,40,S1,20,25,345
2092,12:13:43,41,S1,20,25,345
2092,12:13:43,42,S1,20,25,345
2092,12:13:43,43,S1,20,25,345
2092,12:13:43,44,S1,20,25,345
2092,12:13:43,45,S1,20,25,345
2092,12:13:43,46,S1,20,25,345
2092,12:13:43,47,S1,20,25,345
2092,12:13:43,48,S1,20,25,345
2092,12:13:43,50,S1,20,25,345
2092,12:13:43,51,S1,20,25,345
2092,12:13:43,52,S1,20,25,345
2092,12:13:43,53,S1,20,25,345
2092,12:13:43,54,S1,20,25,345
2092,12:13:43,1,S1,20,25,345
2092,12:13:43,2,S1,20,25,345
2092,12:13:43,3,S1,20,25,345
2092,12:13:43,4,S1,20,25,345
2092,12:13:43,5,S1,20,25,345
2092,12:13:43,6,S1,20,25,345
2092,12:13:43,7,S1,20,25,345
2092,12:13:43,8,S1,20,25,345
2092,12:13:43,9,S1,20,25,345
2092,12:13:43,10,S1,20,25,345
2092,12:13:43,11,S1,20,25,345
2092,12:13:43,13,S1,20,25,345
2092,12:13:43,14,S1,20,25,345
2092,12:13:43,15,S1,20,25,345
2092,12:13:43,16,S1,20,25,345
2092,12:13:43,17,S1,20,25,345
2092,12:13:43,18,S1,20,25,345
2092,12:13:43,19,S1,20,25,345
2092,12:13:43,20,S1,20,25,345
2092,12:13:43,21,S1,20,25,345
2092,12:13:43,22,S1,20,25,345
2092,12:13:43,24,S1,20,25,345
2092,12:13:43,2,S1,20,25,345
2092,12:13:43,3,S1,20,25,345
2092,12:13:43,4,S1,20,25,345
2092,12:13:43,5,S1,20,25,345
2092,12:13:43,6,S1,20,25,345
2092,12:13:43,7,S1,20,25,345
2092,12:13:43,8,S1,20,25,345
2092,12:13:43,9,S1,20,25,345
2092,12:13:43,11,S1,20,25,345
2092,12:13:43,10,S1,20,25,345
